type;value
hash_sha256;8BEDF4F1BF3BEB8F0F4A9FB68A5F330C0F411B7D0C290CF8AB8548C4F8A3EB31
url;http://3381536ffe13739277b0a87c08a66596.bulinouui.sbs
url;http://199cb150cec25af3132ddd4e47b37248.bulinouui.sbs
url;http://twswzz.icu
hash_sha256;20E0DB1D2AD90BC46C7074C2CC116C2C08A8183F3AC6F357E7EBEE0C7CC02596
domain;z2tw.vip
url;https://11c979baeb8bddc12e79ad4def0964e94.bulinouui.sbs
url;https://cq1tw.top/index.html
domain;twsww.xin
hash_sha256;941B0BB479946C833A0436ECB84B94C8468C86C40016F46029E8BF04A22A754E
hash_sha256;E00E9F9D8D3EA668FBC88ED25A9EEFB5B9D8D86A993FF78482500E99AE64351E
hash_sha256;60D57B977903D2F561682AD8F966FC4ADFFB571DAE77EEA5A61F7C89C3167004
domain;twswzz.icu
hash_sha256;C60587964A93B650F3442589B05E9010A262B927D9B60065AFD8091ADA7799FE
domain;cq1tw.top
url;https://5289c03d6d33ac4cf474de436f6bbf47.bulinouui.sbs
domain;cq1tw.icu
domain;sleepyduck.xyz
domain;twsw.cc
hash_sha256;08DB5BB9812F49F9394FD724B9196C7DC2F61B5BA1644DA65DB95AB6E430C92B
url;http://twswzz.xin
domain;jppjp.vip
domain;zxp0010w.vip
hash_sha256;8E8F463C37EA7133194731BFE4490E6713DD0133F30FE08A6D069D10FA7DB2C6
url;http://53d9da1f7632f687dde3b0ec4df00710.bulinouui.sbs
hash_sha256;B5EAE8DE6F5445E06B99EB8B0927F9ABB9031519D772969BD13A7A0FB43EC067
url;https://jpjpz1.vip
hash_sha256;E19CE3BD1CBD980082D3C55A4AC1EB3AF4D9E7ADF108AFB1861372F9C7FE0B76
hash_sha256;7269B4BC6B3036E5A2F8C2A7908A439202CEE9C8B9E50B67C786C39F2500DF8F
domain;jpjpz1.vip
domain;twswzz.xin
hash_sha256;710E8C96875D6A3C1B4F08F4B2094C800658551065B20EF3FD450B210DCC7B9A
url;https://qiqi1.xin/index.html
url;https://www.bulinouui.sbs
url;https://z2tw.xin
hash_sha256;164105513F7B83E60A79E8B6A23C2A6CDAAE7B0F7A105D8820C9DBF67ADA5C1C
domain;z2tw.xin
url;https://6358bdf15f655e7e305eacaf385cd12.bulinouui.sbs/?1d794ebf8cc16e0770adc215e34d26a0
domain;yuknkap4im65njr3tlprnpqwj4h7aal4hrn2tdieg75rpp6fx25hqbyd.onion
url;http://twmm.shop
url;https://twsw.cc/download.html
url;https://twsww.xin/index.html
domain;wojkejys.lat
domain;qiqi1.xin


